Celebrity,Current Ranking,Current Price,Avg. 21-Day Price,Avg. 21-Day Price/Current Price,All-Time High Price,All-Time High Price/Current Price,Days Since All-Time High Price,Gender,Age,Upcoming Birthday,U.S. Nationality,Living Status,Celebrity Bucks Recommendation,Last Update
Sammi Giancola,638,5000,1000,0.2,73000,14.6,2303,NaN,NaN,NaN,NaN,NaN,Hold,44:54.9
James Spader,639,5000,1000,0.2,236000,47.2,2328,Male,60,No upcoming birthday,U.S. national,Alive,Hold,44:56.2
Jane Leeves,640,5000,1000,0.2,58000,11.6,2215,Female,59,No upcoming birthday,Foreign to U.S.,Alive,Hold,44:57.5
Rutina Wesley,641,5000,1000,0.2,61000,12.2,1116,Female,41,No upcoming birthday,U.S. national,Alive,Hold,44:58.7
Bill Murray,642,5000,4000,0.8,599000,119.8,2031,Male,70,No upcoming birthday,U.S. national,Alive,Hold,45:00.0
Sarah Shahi,643,5000,1000,0.2,80000,16,2106,Female,40,No upcoming birthday,U.S. national,Alive,Hold,45:01.2
George Wallace,644,5000,1000,0.2,38000,7.6,2382,Male,68,No upcoming birthday,U.S. national,Alive,Hold,45:02.6
Janet Jackson,645,5000,1000,0.2,606000,121.2,934,Female,54,No upcoming birthday,U.S. national,Alive,Hold,45:03.9
Akon,646,5000,1000,0.2,85000,17,1869,Male,47,No upcoming birthday,U.S. national,Alive,Hold,45:05.2
Tony Plana,647,5000,1000,0.2,18000,3.6,2,Male,68,No upcoming birthday,Foreign to U.S.,Alive,Hold,45:06.5
Kaley Cuoco,648,5000,11000,2.2,638000,127.6,2534,Female,35,No upcoming birthday,U.S. national,Alive,Hold,45:09.0
Jennifer Aniston,649,5000,7000,1.4,1414000,282.8,1952,Female,51,No upcoming birthday,U.S. national,Alive,Hold,45:10.3
Sara Evans,650,4000,1000,0.25,37000,9.25,2378,NaN,NaN,NaN,NaN,NaN,Hold,45:14.0
AnnaSophia Robb,651,4000,1000,0.25,75000,18.75,2553,Female,27,No upcoming birthday,U.S. national,Alive,Hold,45:15.2
Elton John,652,4000,10000,2.5,692000,173,2474,Male,73,No upcoming birthday,Foreign to U.S.,Alive,Hold,45:16.6
Jeff Probst,653,4000,1000,0.25,177000,44.25,2584,Male,59,No upcoming birthday,U.S. national,Alive,Hold,45:17.9
Steve Harvey,654,4000,1000,0.25,1446000,361.5,1816,Male,63,No upcoming birthday,U.S. national,Alive,Hold,45:19.3
Jane Fonda,655,4000,2000,0.5,512000,128,1169,Female,82,No upcoming birthday,U.S. national,Alive,Hold,45:20.7
Howie Dorough,656,4000,1000,0.25,50000,12.5,1347,Male,47,No upcoming birthday,U.S. national,Alive,Hold,45:21.8
Debra Messing,657,4000,1000,0.25,427000,106.75,1067,Female,52,No upcoming birthday,U.S. national,Alive,Hold,45:23.1
Muhammad Ali,658,4000,1000,0.25,2011000,502.75,1650,Male,74,No upcoming birthday,U.S. national,Dead,Hold,45:24.3
Bill Clinton,659,4000,8000,2,463000,115.75,1597,Male,74,No upcoming birthday,U.S. national,Alive,Hold,45:25.7
Sara Bareilles,660,4000,2000,0.5,307000,76.75,914,Female,41,No upcoming birthday,U.S. national,Alive,Hold,45:27.1
Eva Amurri,661,4000,1000,0.25,249000,62.25,1438,NaN,NaN,NaN,NaN,NaN,Hold,45:29.6
Corinne Bailey Rae,662,4000,1000,0.25,27000,6.75,1624,Female,41,No upcoming birthday,Foreign to U.S.,Alive,Hold,45:30.8
Petra Nemcova,663,4000,1000,0.25,33000,8.25,1667,Female,41,NaN,Foreign to U.S.,Alive,Hold,45:32.0
Claire Holt,664,4000,1000,0.25,162000,40.5,2465,Female,32,No upcoming birthday,Foreign to U.S.,Alive,Hold,45:33.3
Marisa Tomei,665,4000,2000,0.5,245000,61.25,1982,Female,56,No upcoming birthday,U.S. national,Alive,Hold,45:34.6
Nick Carter,666,4000,1000,0.25,593000,148.25,1792,Male,40,No upcoming birthday,U.S. national,Alive,Hold,45:35.9
Djimon Hounsou,667,4000,1000,0.25,141000,35.25,2486,Male,56,No upcoming birthday,Foreign to U.S.,Alive,Hold,45:37.2
Spike Lee,668,4000,3000,0.75,1447000,361.75,654,Male,63,No upcoming birthday,U.S. national,Alive,Sell,45:38.4
Emilie de Ravin,669,4000,1000,0.25,105000,26.25,1733,Female,38,No upcoming birthday,Foreign to U.S.,Alive,Hold,45:39.7
Dule Hill,670,4000,1000,0.25,47000,11.75,2500,Male,46,No upcoming birthday,U.S. national,Alive,Hold,45:41.0
Jordin Sparks,671,4000,1000,0.25,563000,140.75,2267,Female,30,No upcoming birthday,U.S. national,Alive,Hold,45:42.2
Aasif Mandvi,672,4000,1000,0.25,79000,19.75,2079,Male,54,No upcoming birthday,Foreign to U.S.,Alive,Hold,45:43.5
Brent Musburger,673,4000,1000,0.25,86000,21.5,1415,NaN,NaN,NaN,NaN,NaN,Hold,45:45.9
Holly Marie Combs,674,4000,1000,0.25,115000,28.75,1049,Female,47,No upcoming birthday,U.S. national,Alive,Hold,45:47.1
Boy George,675,4000,1000,0.25,161000,40.25,1964,Male,59,No upcoming birthday,Foreign to U.S.,Alive,Hold,45:48.6
Bob Balaban,676,4000,1000,0.25,110000,27.5,2498,Male,75,No upcoming birthday,U.S. national,Alive,Hold,45:50.0
